Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-April-2022,18150.00,18572.95,17772.90,18205.80,18130.183442265795206971,4590,1770,83217542.00,950,20.70,800.05,55.80
20-April-2022,18100.10,18415.00,18017.15,18313.70,18295.559070687098368759,6069,1321,111035748.00,4677,77.06,397.85,213.60
19-April-2022,18470.05,18718.00,17845.60,17943.15,18355.093319559228650137,2904,716,53303191.00,1619,55.75,872.40,-526.90
18-April-2022,18294.50,18684.50,18294.50,18549.85,18511.224598930481283422,1496,586,27692792.00,557,37.23,390.00,255.35
13-April-2022,18371.20,18549.30,18248.25,18343.90,18388.967826086956521739,1150,550,21147313.00,573,49.83,301.05,-27.30
12-April-2022,18339.00,18497.00,18216.30,18430.00,18390.222000000000000000,2000,537,36780444.00,1412,70.60,280.70,91.00
11-April-2022,18499.00,18518.35,18225.00,18422.70,18385.862359550561797752,712,364,13090734.00,305,42.84,293.35,-76.30
8-April-2022,18180.00,18500.00,18101.00,18431.10,18361.677527151211361737,1197,514,21978928.00,534,44.61,399.00,251.10
7-April-2022,18198.60,18245.95,17986.75,18175.55,18131.799564270152505446,918,357,16644992.00,240,26.14,259.20,-23.05
6-April-2022,17900.00,18255.35,17871.20,18207.60,18096.243542435424354243,813,397,14712246.00,341,41.94,384.15,307.60
5-April-2022,17849.00,18050.00,17738.75,18014.50,17924.610995850622406639,964,529,17279325.00,351,36.41,311.25,165.50
4-April-2022,17645.60,17868.00,17461.10,17782.20,17707.131386861313868613,1370,558,24258770.00,698,50.95,406.90,136.60
1-April-2022,17340.00,17607.65,17250.00,17544.95,17376.882779456193353474,1655,376,28758741.00,1150,69.49,357.65,204.95
31-March-2022,17295.55,17427.70,17209.05,17376.80,17336.425324675324675324,1232,513,21358476.00,466,37.82,218.65,81.25
30-March-2022,17050.00,17338.15,17050.00,17295.55,17184.150924702774108322,3028,1295,52033609.00,1762,58.19,288.15,245.55
29-March-2022,16866.00,16998.25,16822.50,16922.85,16903.570858283433133732,3006,1199,50812134.00,1726,57.42,175.75,56.85
28-March-2022,17170.00,17281.40,16791.40,16863.45,16895.282588367308771273,5347,2023,90339076.00,3513,65.70,490.00,-306.55
25-March-2022,17375.05,17375.05,17075.00,17177.10,17199.181929181929181929,1638,743,28172260.00,969,59.16,300.05,-197.95
24-March-2022,17399.00,17493.95,17255.50,17392.85,17382.913725490196078431,1275,632,22163215.00,625,49.02,238.45,-6.15
23-March-2022,17498.30,17544.00,17304.50,17349.10,17418.171622769753610875,1177,530,20501188.00,560,47.58,239.50,-149.20
22-March-2022,17815.30,17815.35,17260.00,17415.65,17397.529615861214374225,4035,1257,70199032.00,1627,40.32,555.35,-399.65
21-March-2022,18495.00,18495.00,17804.90,17859.55,18027.351114112086428089,1481,539,26698507.00,541,36.53,690.10,-635.45
17-March-2022,17804.00,18361.70,17804.00,18269.40,18058.050496688741721854,1208,624,21814125.00,368,30.46,557.70,465.40
16-March-2022,17500.00,17865.00,17471.00,17804.00,17650.632478632478632478,2925,956,51628100.00,2172,74.26,394.00,304.00
15-March-2022,17449.00,17550.00,17258.50,17475.65,17420.889232673267326732,1616,742,28152157.00,715,44.24,291.50,26.65
14-March-2022,17448.00,17448.00,17154.10,17376.95,17275.464446444644464446,1111,489,19193041.00,428,38.52,293.90,-71.05
11-March-2022,17664.00,17664.00,17235.15,17322.80,17461.272518382352941176,4352,809,75991458.00,1224,28.12,428.85,-341.20
10-March-2022,17250.00,17686.70,17247.15,17633.95,17459.736050460941290635,2061,886,35984516.00,810,39.30,439.55,383.95
9-March-2022,17349.95,17349.95,17070.10,17147.35,17153.317755289788408463,10870,1531,186456564.00,9360,86.11,279.85,-202.60
8-March-2022,17225.00,17518.00,16975.00,17299.70,17232.735026535253980288,2638,1280,45459955.00,1036,39.27,543.00,74.70
7-March-2022,17394.00,17408.00,17048.75,17342.50,17271.919270833333333333,8448,1979,145913174.00,6445,76.29,359.25,-51.50
4-March-2022,17331.50,17550.75,17025.00,17389.60,17290.530270270270270270,1850,1149,31987481.00,817,44.16,525.75,58.10
3-March-2022,17926.60,17926.60,17402.95,17450.80,17587.694258016405667412,1341,644,23585098.00,393,29.31,523.65,-475.80
2-March-2022,17659.65,17878.20,17467.10,17840.10,17665.311663479923518164,1046,654,18477916.00,219,20.94,411.10,180.45
28-February-2022,17680.00,17758.15,17329.15,17603.05,17455.938207136640557006,2298,853,40113746.00,,,429.00,-76.95
25-February-2022,17727.75,17901.25,17584.70,17706.50,17724.901160862354892205,3015,1213,53440577.00,858,28.46,316.55,-21.25
24-February-2022,17730.00,17952.65,17553.55,17727.75,17698.206863218946350894,4138,2318,73235180.00,1783,43.09,399.10,-2.25
23-February-2022,18265.50,18265.50,17865.00,17949.45,18019.632825719120135363,1182,578,21299206.00,612,51.78,400.50,-316.05
22-February-2022,17999.00,18140.50,17782.65,18091.30,17976.117857142857142857,840,433,15099939.00,287,34.17,357.85,92.30
21-February-2022,17901.05,18162.85,17826.95,18090.45,17982.053238686779059449,1127,698,20265774.00,566,50.22,335.90,189.40
18-February-2022,17582.20,18216.00,17582.20,18059.00,18026.503314724354501046,5732,1886,103327917.00,1903,33.20,633.80,476.80
17-February-2022,18305.05,18572.95,17969.30,18084.55,18242.184400065477164838,12218,3111,222883009.00,1948,15.94,603.65,-220.50
16-February-2022,18188.00,18398.15,18048.50,18244.35,18216.174857142857142857,875,565,15939153.00,349,39.89,349.65,56.35
15-February-2022,17663.75,18315.65,17570.55,18181.00,18054.317209302325581395,2150,1136,38816782.00,782,36.37,745.10,517.25
14-February-2022,17550.05,17805.35,17424.45,17663.75,17610.349116873355881247,2661,1601,46861139.00,1227,46.11,380.90,113.70
11-February-2022,18058.60,18120.00,17630.00,17815.20,17747.165153480328577604,2313,1048,41049193.00,995,43.02,490.00,-243.40
